Spicules,Height[i],Height (Mm)
1822,180,2.8761029999999996
1845,183,2.9240380499999996
1807,186,2.9719730999999996
1862,189,3.0199081499999996
1924,192,3.0678431999999995
1967,195,3.11577825
1987,198,3.1637133
2049,201,3.21164835
2017,204,3.2595834
2000,207,3.30751845
2017,210,3.3554535
2052,213,3.40338855
2017,216,3.4513236
2006,219,3.49925865
2020,222,3.5471937
1985,225,3.5951287499999998
1957,228,3.6430637999999997
1947,231,3.6909988499999997
1931,234,3.7389338999999997
1929,237,3.7868689499999997
1837,240,3.8348039999999997
1809,243,3.8827390499999996
1793,246,3.9306740999999996
1772,249,3.9786091499999996
1769,252,4.0265442
1743,255,4.0744792499999996
1778,258,4.1224143
1770,261,4.1703493499999995
1763,264,4.2182844
1721,267,4.2662194499999995
1699,270,4.3141545
1704,273,4.362089549999999
1705,276,4.4100246
1754,279,4.457959649999999
1797,282,4.5058947
1784,285,4.553829749999999
1801,288,4.6017648
1811,291,4.649699849999999
1727,294,4.6976349
1718,297,4.745569949999999
1695,300,4.793505
1691,303,4.841440049999999
1683,306,4.8893751
1688,309,4.93731015
1665,312,4.9852452
1719,315,5.03318025
1723,318,5.0811153
1720,321,5.12905035
1717,324,5.1769853999999995
1730,327,5.22492045
1722,330,5.2728554999999995
1751,333,5.32079055
1731,336,5.368725599999999
1760,339,5.41666065
1764,342,5.464595699999999
1786,345,5.51253075
1785,348,5.560465799999999
1737,351,5.60840085
1714,354,5.656335899999999
1682,357,5.70427095
1685,360,5.752205999999999
1677,363,5.80014105
1698,366,5.848076099999999
1656,369,5.89601115
1645,372,5.943946199999999
1685,375,5.99188125
1668,378,6.039816299999999
1668,381,6.08775135
1656,384,6.135686399999999
1675,387,6.1836214499999995
1664,390,6.2315565
1697,393,6.2794915499999995
1697,396,6.3274266
1670,399,6.375361649999999
1668,402,6.4232967
1647,405,6.471231749999999
1653,408,6.5191668
1638,411,6.567101849999999
1638,414,6.6150369
1643,417,6.662971949999999
1648,420,6.710907
1665,423,6.758842049999999
